seq1	4p12.1	(45.6,69.2)
seq2363	14q6.3	(39.4,75.0)
seq2364	21p6.7	(99.3,18.0)
seq2365	16q6.14	(89.4,97.0)
seq2366	6q8.3	(56.7,5.5)
seq2367	15p12.13	(55.3,98.7)
seq2368	19q5.6	(0.4,92.5)
seq2369	4q12.9	(26.4,32.0)
seq2370	7q12.8	(37.7,68.1)
seq2371	10p2.14	(7.1,66.3)
seq2372	1q10.2	(40.0,36.6)
seq2373	1q13.11	(30.0,15.1)
seq2374	13p7.2	(65.4,89.2)
seq2375	20q8.9	(21.1,33.1)
seq2376	22q12.1	(31.7,3.1)
seq2377	15p13.12	(70.2,41.3)
seq2378	10p2.8	(74.5,80.2)
seq2379	5p4.7	(40.0,76.5)
seq2380	17p4.11	(4.3,97.4)
seq2381	14p8.3	(7.9,36.1)
seq2382	5q9.10	(91.4,43.7)
seq2383	14p4.6	(25.7,94.7)
seq2384	6q12.8	(59.2,35.9)
seq2385	6q1.13	(54.3,43.8)
seq2386	19q12.1	(1.6,11.1)
seq2387	15q3.12	(21.0,78.3)
seq2388	3q13.1	(21.0,87.3)
seq2389	16q1.5	(17.3,36.9)
seq2390	5q6.2	(17.1,86.6)
seq2391	6p15.7	(63.2,65.5)
seq2392	13q8.5	(36.0,47.6)
seq2393	3q4.8	(12.5,86.1)
seq2394	13q5.7	(75.1,60.2)
seq2395	7q9.5	(12.9,39.6)
seq2396	6q4.14	(55.8,74.4)
seq2397	20q4.15	(56.5,55.6)
seq2398	5p7.14	(14.6,17.3)
seq2399	8q8.4	(76.9,91.6)
seq2400	20p11.7	(62.0,21.7)
seq2401	21p14.15	(24.1,43.6)
seq2402	11p5.8	(77.6,99.0)
seq2403	13p14.9	(54.0,90.0)
seq2404	4q12.13	(20.3,83.0)
seq2405	12p14.4	(15.8,88.9)
seq2406	4q1.10	(86.8,89.0)
seq2407	21p7.1	(71.7,82.0)
seq2408	21q6.4	(9.3,77.2)
seq2409	1q1.14	(49.4,20.1)
seq2410	15q2.10	(49.8,5.5)
seq2411	7q9.6	(52.7,52.4)
seq2412	22q10.1	(49.6,7.0)
seq2413	18q3.3	(21.9,59.7)
seq2414	22p5.11	(72.4,62.4)
seq2415	6q3.12	(33.7,20.1)
seq2416	9p9.9	(88.1,86.8)
seq2417	17q14.3	(42.1,86.9)
seq2418	15q2.9	(32.1,20.6)
seq2419	2p7.15	(49.6,56.1)
seq2420	10p7.5	(32.9,9.0)
seq2421	19p15.14	(50.1,59.4)
seq2422	1p11.12	(19.9,35.6)
seq2423	9p3.13	(94.2,93.0)
seq2424	20q2.6	(8.4,60.8)
seq2425	13p15.10	(15.0,86.8)
seq2426	16p15.5	(4.7,21.5)
seq2427	18p11.1	(41.9,82.7)
seq2428	19q7.1	(76.8,82.7)
seq2429	12q4.6	(69.8,63.1)
seq2430	22p13.7	(33.0,86.4)
seq2431	8q5.10	(12.8,81.4)
seq2432	14q5.5	(61.5,45.2)
seq2433	10p1.3	(6.7,17.1)
seq2434	22q11.4	(36.5,35.5)
seq2435	13p1.13	(53.9,93.6)
seq2436	18q15.5	(28.6,29.0)
seq2437	11q2.1	(93.2,70.5)
seq2438	10p10.12	(15.3,88.5)
seq2439	7p4.6	(7.8,19.1)
seq2440	3q8.12	(20.0,48.6)
seq2441	12q2.5	(14.5,10.7)
seq2442	13q11.8	(22.3,41.6)
seq2443	1p5.14	(24.2,70.1)
seq2444	11p5.11	(44.0,70.4)
seq2445	19p7.9	(43.9,75.2)
seq2446	16p5.4	(8.3,22.6)
seq2447	8p6.10	(44.1,87.5)
seq2448	2p3.8	(82.2,68.3)
seq2449	16p9.13	(65.5,84.2)
seq2450	12q14.1	(41.1,81.7)
seq2451	18p9.15	(22.1,7.1)
seq2452	20q1.4	(80.0,36.7)
seq2453	6p1.4	(51.4,67.9)
seq2454	18p6.7	(48.5,53.5)
seq2455	21p10.10	(10.4,27.5)
seq2456	17p4.12	(75.6,19.2)
seq2457	12q13.7	(86.0,15.4)
seq2458	4p8.10	(11.9,24.4)
seq2459	5q3.2	(21.0,18.3)
seq2460	4p5.1	(35.5,6.8)
seq2461	9p5.1	(62.4,49.6)
seq2462	17q3.5	(12.4,31.6)
seq2463	2q10.12	(95.1,50.3)
seq2464	16p2.4	(93.8,37.7)
seq2465	2p14.5	(80.7,73.8)
seq2466	18q2.8	(10.3,19.8)
seq2467	8p1.15	(36.0,67.7)
seq2468	11p4.10	(1.8,42.8)
seq2469	14q8.4	(89.3,78.4)
seq2470	14q6.1	(94.1,81.6)
seq2471	22p1.10	(91.9,11.5)
seq2472	3p2.13	(98.4,96.1)
seq2473	21p5.3	(69.0,57.6)
seq2474	4q6.11	(21.3,30.6)
seq2475	4q14.2	(24.4,88.4)
seq2476	1q10.15	(81.0,89.7)
seq2477	10q6.8	(49.1,79.9)
seq2478	9p12.10	(73.7,4.1)
seq2479	12p5.9	(50.3,28.8)
seq2480	4q3.10	(56.2,89.4)
seq2481	17q4.10	(11.4,12.7)
seq2482	22p11.13	(36.4,45.7)
seq2483	12q5.15	(20.6,0.1)
seq2484	13q12.10	(74.8,16.8)
seq2485	2q14.8	(83.4,88.7)
seq2486	5q7.6	(58.1,86.7)
seq2487	19p5.13	(70.0,17.9)
seq2488	2q15.5	(3.3,90.3)
seq2489	18p15.6	(46.6,56.9)
seq2490	6q2.12	(35.8,42.1)
seq2491	12p13.1	(56.7,84.2)
seq2492	20q1.3	(33.7,90.8)
seq2493	15q14.15	(83.5,60.9)
seq2494	6p7.7	(10.1,15.4)
seq2495	3p13.10	(40.5,19.6)
seq2496	7p4.7	(90.6,12.0)
seq2497	9p8.10	(62.6,80.4)
seq2498	6p10.4	(6.0,39.4)
seq2499	19q3.13	(1.0,51.7)
seq2500	13p4.9	(69.4,60.5)
seq2501	5q2.2	(19.4,76.6)
seq2502	15p3.5	(68.8,78.3)
seq2503	12q1.5	(13.4,22.1)
seq2504	20q4.11	(22.2,92.5)
seq2505	20q11.15	(2.7,65.2)
seq2506	16p14.14	(72.3,79.0)
seq2507	7p6.3	(95.9,87.0)
seq2508	7p8.12	(56.4,6.2)
seq2509	8p10.13	(98.8,71.2)
seq2510	20q3.6	(4.8,92.6)
seq2511	18p15.2	(51.8,90.9)
seq2512	4q11.3	(56.1,14.4)
seq2513	18q8.9	(33.1,54.1)
seq2514	4p5.6	(82.7,4.1)
seq2515	22q3.5	(63.5,27.3)
seq2516	8q2.10	(65.3,93.6)
seq2517	21q10.2	(19.2,6.8)
seq2518	16p3.6	(31.2,76.1)
seq2519	9p5.5	(13.5,29.0)
seq2520	21p9.15	(50.1,47.1)
seq2521	11p4.1	(56.8,79.7)
seq2522	11p1.14	(94.6,32.5)
seq2523	21p11.4	(64.6,17.6)
seq2524	13q10.7	(47.3,50.4)
seq2525	19p6.14	(27.7,78.0)
seq2526	21q10.8	(15.2,42.6)
seq2527	13q10.2	(38.3,94.6)
seq2528	2q1.3	(22.5,4.3)
seq2529	7q13.11	(89.9,70.4)
seq2530	15q11.5	(4.6,3.1)
seq2531	10q12.5	(44.7,45.6)
seq2532	13p11.8	(43.8,70.8)
seq2533	18q13.8	(81.0,1.7)
seq2534	9q4.3	(70.2,80.1)
seq2535	13p5.14	(26.8,83.2)
seq2536	5q3.5	(74.0,7.4)
seq2537	15q10.11	(5.7,45.7)
seq2538	5p10.9	(81.9,23.2)
seq2539	16q10.7	(85.9,36.0)
seq2540	14q13.4	(83.7,13.3)
seq2541	20q14.4	(26.1,6.8)
seq2542	5q8.11	(76.5,19.5)
seq2543	6p4.10	(64.2,80.8)
seq2544	3p15.1	(10.4,33.5)
seq2545	20q15.5	(69.4,5.7)
seq2546	2q5.7	(45.4,22.8)
seq2547	21q10.1	(90.5,10.1)
seq2548	4q14.3	(18.6,33.9)
seq2549	12q4.9	(64.2,0.0)
seq2550	2q4.6	(2.5,47.2)
seq2551	22q14.10	(9.2,45.4)
seq2552	11p11.11	(63.8,24.9)
seq2553	17p8.1	(18.0,36.9)
seq2554	19q8.3	(12.6,62.8)
seq2555	12p7.3	(68.6,58.4)
seq2556	8p9.8	(44.5,39.9)
seq2557	10p13.4	(64.2,85.6)
seq2558	10p11.1	(36.3,25.0)
seq2559	5p6.4	(23.3,47.0)
seq2560	18q9.8	(13.0,46.1)
seq2561	5q2.12	(92.2,78.9)
seq2562	14q6.9	(6.8,75.5)
seq2563	13q11.14	(6.0,72.4)
seq2564	7q11.11	(27.5,21.1)
seq2565	1p12.2	(4.2,36.0)
seq2566	9p2.8	(25.4,93.0)
seq2567	9q5.11	(61.9,78.1)
seq2568	2p11.3	(0.2,56.7)
seq2569	7q1.10	(78.3,2.7)
seq2570	16p11.13	(46.0,31.6)
seq2571	16p5.15	(95.5,65.1)
seq2572	3p14.5	(90.1,45.7)
seq2573	4p11.4	(17.6,83.0)
seq2574	18p4.1	(26.1,11.4)
seq2575	2q7.11	(55.7,16.6)
seq2576	8q8.4	(91.8,56.4)
seq2577	11p12.1	(9.9,41.8)
seq2578	5q6.5	(90.5,94.7)
seq2579	12q14.2	(94.5,40.5)
seq2580	15p10.7	(3.4,50.2)
seq2581	17p10.14	(57.0,29.3)
seq2582	3p5.13	(84.4,38.2)
seq2583	20p1.1	(11.4,34.9)
seq2584	20p8.5	(23.0,5.5)
seq2585	5q4.3	(55.0,60.9)
seq2586	7q1.10	(9.1,16.8)
seq2587	21q13.4	(72.9,36.9)
seq2588	4p8.8	(33.0,53.4)
seq2589	18q3.4	(50.0,27.8)
seq2590	13q12.1	(61.2,85.0)
seq2591	6p9.7	(58.4,55.7)
seq2592	19q3.15	(15.6,71.1)
seq2593	22q6.9	(65.9,85.7)
seq2594	10q1.15	(49.7,71.5)
seq2595	18p12.2	(65.1,82.7)
seq2596	9q12.11	(89.9,48.4)
seq2597	12p4.2	(44.2,12.1)
seq2598	18p8.3	(48.2,83.1)
seq2599	17q12.14	(64.5,15.0)
seq2600	12q1.5	(35.1,2.6)
seq2601	11q10.12	(91.8,68.1)
seq2602	20p4.5	(13.1,3.6)
seq2603	4p12.5	(37.8,15.9)
seq2604	10q11.12	(63.5,59.1)
seq2605	1q2.13	(40.9,97.9)
seq2606	10p11.10	(39.3,18.0)
seq2607	17q4.7	(32.6,10.4)
seq2608	21p15.4	(70.4,38.4)
seq2609	5p1.9	(83.7,56.0)
seq2610	15p2.15	(26.2,88.8)
seq2611	3q2.2	(81.8,93.8)
seq2612	4p10.12	(7.3,37.2)
seq2613	3p8.13	(96.3,11.6)
seq2614	16q12.11	(2.7,47.7)
seq2615	15p5.4	(90.0,70.3)
seq2616	11q8.5	(7.7,83.6)
seq2617	18p9.2	(91.0,59.1)
seq2618	10q7.1	(88.1,32.9)
seq2619	4p4.4	(23.4,39.7)
seq2620	5p4.9	(16.6,49.9)
seq2621	4q10.11	(25.8,44.6)
seq2622	15q8.10	(67.0,63.8)
seq2623	3p2.1	(61.5,5.9)
seq2624	7p5.15	(50.3,9.8)
seq2625	14p4.4	(15.5,38.9)
seq2626	8p4.14	(48.2,99.5)
seq2627	15p4.4	(64.3,31.9)
seq2628	5p1.5	(49.9,90.8)
seq2629	12q13.15	(23.7,14.0)
seq2630	14p7.4	(8.7,9.8)
seq2631	13p1.11	(5.5,86.8)
seq2632	3p5.6	(57.9,73.0)
seq2633	12q15.3	(30.8,52.7)
seq2634	10q1.4	(28.2,82.2)
seq2635	17p7.13	(35.8,32.8)
seq2636	4p4.13	(95.4,78.5)
seq2637	22q4.14	(83.4,4.1)
seq2638	4q8.2	(77.6,47.7)
seq2639	1q12.11	(24.1,43.5)
seq2640	15p1.11	(32.3,96.4)
seq2641	11p5.10	(28.8,41.5)
seq2642	17p9.2	(51.8,58.3)
seq2643	6q11.5	(98.7,71.4)
seq2644	21p10.13	(92.8,22.0)
seq2645	15q13.8	(3.9,88.4)
seq2646	8q11.6	(46.6,70.1)
seq2647	3p4.4	(17.7,98.9)
seq2648	6p11.10	(38.7,92.4)
seq2649	9p6.4	(89.0,96.8)
seq2650	22q9.15	(10.1,84.1)
seq2651	2q15.3	(1.1,68.8)
seq2652	7q15.4	(30.3,52.0)
seq2653	17p4.10	(4.7,15.4)
seq2654	3p11.6	(82.3,73.6)
seq2655	20q12.12	(94.8,57.6)
seq2656	20p13.1	(71.2,81.8)
seq2657	3p3.14	(37.0,72.7)
seq2658	1p4.3	(62.9,57.4)
seq2659	16q3.6	(20.5,23.4)
seq2660	20q11.8	(93.0,34.8)
seq2661	1p14.2	(1.2,60.7)
seq2662	2q13.12	(27.5,4.7)
seq2663	15p6.5	(43.1,94.1)
seq2664	6p9.9	(97.4,79.7)
seq2665	13q3.14	(24.0,31.6)
seq2666	14p12.11	(25.3,57.6)
seq2667	6p10.9	(62.1,36.7)
seq2668	18p2.4	(62.6,0.4)
seq2669	12q6.7	(44.2,98.5)
seq2670	4q13.12	(89.6,41.0)
seq2671	10p6.1	(2.4,6.0)
seq2672	13q2.10	(68.5,62.0)
seq2673	13q9.3	(88.2,36.2)
seq2674	19q10.5	(18.2,63.8)
seq2675	2q11.1	(54.3,33.7)
seq2676	7q15.15	(23.4,35.5)
seq2677	12p7.2	(55.9,35.8)
seq2678	20q5.6	(52.0,47.7)
seq2679	6p2.3	(74.7,38.5)
seq2680	18q9.8	(90.0,51.8)
seq2681	4q11.8	(55.6,56.8)
seq2682	18p15.15	(0.7,11.9)
seq2683	13p8.7	(11.2,58.0)
seq2684	20p11.10	(21.9,26.0)
seq2685	5q13.11	(1.5,52.4)
seq2686	22q4.3	(51.5,99.7)
seq2687	18q3.15	(41.7,1.0)
seq2688	13p10.11	(25.9,77.9)
seq2689	9p6.6	(75.3,76.5)
seq2690	15p10.14	(86.9,51.1)
seq2691	13p14.9	(56.9,43.9)
seq2692	16p12.7	(69.0,6.0)
seq2693	13q4.14	(13.4,50.1)
seq2694	20q12.15	(59.3,30.3)
seq2695	14q9.4	(2.9,33.5)
seq2696	5p13.7	(44.8,12.6)
seq2697	6q2.9	(35.0,70.9)
seq2698	1q11.7	(79.2,41.8)
seq2699	11p9.4	(34.2,42.2)
seq2700	21p10.4	(45.8,31.3)
seq2701	9p4.8	(91.5,47.2)
seq2702	7q7.1	(54.8,76.1)
seq2703	3q13.1	(75.4,99.9)
seq2704	8q2.3	(86.9,15.0)
seq2705	11p5.7	(10.4,63.2)
seq2706	22q13.3	(75.0,72.5)
seq2707	17q3.14	(94.7,19.8)
seq2708	6p2.13	(20.8,95.2)
seq2709	2p15.11	(92.8,4.4)
seq2710	14q11.2	(23.9,35.7)
seq2711	8q11.5	(79.6,33.2)
seq2712	8q5.9	(7.6,39.6)
seq2713	22p8.12	(89.9,90.8)
seq2714	4p14.7	(57.5,12.5)
seq2715	11p11.6	(29.6,90.7)
seq2716	7p8.3	(47.4,47.7)
seq2717	18q2.9	(29.8,15.9)
seq2718	7p4.7	(35.1,28.1)
seq2719	8q13.13	(47.4,13.7)
seq2720	10p3.7	(31.7,87.2)
seq2721	13p4.8	(15.1,53.6)
seq2722	6q9.8	(50.7,94.5)
seq2723	8q1.13	(76.0,99.3)
seq2724	2q15.4	(27.1,94.7)
seq2725	16q6.3	(41.9,28.3)
seq2726	6q10.6	(34.1,36.5)
seq2727	8q13.4	(89.9,40.8)
seq2728	1q2.9	(76.9,100.0)
seq2729	15q12.13	(76.7,38.9)
seq2730	20q6.14	(94.8,75.3)
seq2731	21p1.8	(27.3,32.8)
seq2732	6p12.15	(23.4,2.0)
seq2733	19p10.5	(88.0,60.0)
seq2734	20p1.11	(7.6,55.1)
seq2735	4q3.2	(67.2,10.8)
seq2736	18p15.9	(58.2,62.6)
seq2737	6p15.9	(7.8,23.5)
seq2738	9p15.7	(41.5,29.2)
seq2739	14q10.11	(92.7,27.7)
seq2740	19q3.5	(27.6,84.0)
seq2741	5p2.12	(94.6,22.6)
seq2742	12q12.2	(22.2,77.4)
seq2743	6q5.13	(20.6,87.1)
seq2744	22p1.9	(55.5,89.8)
seq2745	12q9.8	(54.2,85.1)
seq2746	7q14.9	(77.2,29.2)
seq2747	4p3.13	(98.3,63.0)
seq2748	6p9.6	(74.9,79.6)
seq2749	4p1.13	(56.8,52.7)
seq2750	6q3.15	(81.8,16.6)
seq2751	7q7.2	(1.1,12.2)
seq2752	10p1.2	(42.1,12.4)
seq2753	16q8.10	(6.3,41.8)
seq2754	15p2.8	(59.9,10.4)
seq2755	1q15.15	(10.2,62.2)
seq2756	6q6.1	(20.2,99.6)
seq2757	6p3.6	(52.3,86.6)
seq2758	10p15.12	(54.7,99.2)
seq2759	21q14.12	(44.4,80.8)
seq2760	5q1.4	(14.3,74.3)
seq2761	22p10.15	(26.0,98.6)
seq2762	4p7.3	(51.5,94.5)
seq2763	14p10.2	(54.7,42.0)
seq2764	16q4.5	(17.9,11.1)
seq2765	15p4.9	(88.2,72.8)
seq2766	20q9.13	(94.4,5.3)
seq2767	4q8.6	(37.0,4.1)
seq2768	11p15.5	(51.5,20.2)
seq2769	13p9.11	(94.9,16.1)
seq2770	2p9.15	(4.2,20.5)
seq2771	14p4.4	(87.2,92.7)
seq2772	19p6.5	(21.5,91.2)
seq2773	22q9.2	(87.2,65.9)
seq2774	10p4.9	(40.9,27.9)
seq2775	16p13.6	(85.6,52.5)
seq2776	3p6.6	(0.9,7.3)
seq2777	18q2.8	(55.0,2.4)
seq2778	22q9.2	(85.5,22.9)
seq2779	18p5.4	(57.2,38.9)
seq2780	7q5.8	(88.4,2.7)
seq2781	7p7.5	(16.2,38.5)
seq2782	17q6.6	(23.5,74.8)
seq2783	3q6.15	(43.9,10.6)
seq2784	2p2.9	(70.7,98.6)
seq2785	15p12.3	(20.2,79.4)
seq2786	10q5.7	(1.2,55.5)
seq2787	7p12.1	(33.2,6.6)
seq2788	5p10.5	(9.5,60.2)
seq2789	20p3.8	(77.1,32.6)
seq2790	7q15.10	(54.1,94.5)
seq2791	7p6.15	(86.1,52.6)
seq2792	9q13.6	(64.1,23.4)
seq2793	19p12.5	(71.7,34.7)
seq2794	10q7.1	(31.8,27.7)
seq2795	12p1.3	(84.5,78.7)
seq2796	10p1.15	(72.4,66.0)
seq2797	14q5.13	(82.0,11.5)
seq2798	16p11.4	(29.3,38.3)
seq2799	5q9.12	(21.2,73.4)
seq2800	10q1.5	(81.2,31.9)
seq2801	18q1.5	(71.6,7.1)
seq2802	2p1.13	(98.8,72.5)
seq2803	18q10.12	(59.7,2.8)
seq2804	6p11.5	(36.0,68.1)
seq2805	17p7.6	(59.6,51.1)
seq2806	1p11.1	(55.7,85.5)
seq2807	20p15.2	(96.2,90.5)
seq2808	6q15.1	(41.0,46.8)
seq2809	2p4.1	(83.7,60.1)
seq2810	10q14.15	(45.8,11.3)
seq2811	14p1.7	(47.6,22.6)
seq2812	16p10.5	(14.9,74.4)
seq2813	22p7.10	(9.4,11.3)
seq2814	22p5.8	(48.6,53.7)
seq2815	11q12.4	(49.6,95.0)
seq2816	7q11.7	(20.8,95.5)
seq2817	16p8.10	(12.0,27.4)
seq2818	8p7.13	(30.1,46.9)
seq2819	6q11.2	(21.1,8.3)
seq2820	1q9.15	(93.4,48.3)
seq2821	16p14.12	(35.1,95.6)
seq2822	17q11.15	(3.0,92.7)
seq2823	22q3.8	(66.0,19.6)
seq2824	14q8.8	(58.1,74.8)
seq2825	14p2.7	(29.9,42.7)
seq2826	3q2.2	(36.3,38.9)
seq2827	6p10.3	(70.7,60.8)
seq2828	12q8.9	(34.9,73.7)
seq2829	14p3.13	(47.5,49.3)
seq2830	17q1.4	(64.9,47.6)
seq2831	17p14.14	(62.1,23.5)
seq2832	20p13.7	(73.8,34.3)
seq2833	8p11.15	(82.3,11.1)
seq2834	9p3.7	(99.9,54.5)
seq2835	20q12.15	(14.0,46.2)
seq2836	9q6.12	(76.4,43.9)
seq2837	18q4.13	(0.4,50.9)
seq2838	9p2.6	(91.5,29.1)
seq2839	18p13.10	(19.4,24.8)
seq2840	4q14.1	(21.6,25.1)
seq2841	13q5.13	(26.3,89.3)
seq2842	20q15.15	(85.1,71.0)
seq2843	2q3.12	(9.4,24.2)
seq2844	17p3.10	(88.6,37.9)
seq2845	22p9.7	(10.6,58.5)
seq2846	5p14.8	(72.6,45.0)
seq2847	6p3.11	(69.5,52.1)
seq2848	9q11.13	(1.8,13.9)
seq2849	15q9.15	(91.7,79.8)
seq2850	4q10.1	(47.4,73.8)
seq2851	10q1.12	(27.0,32.4)
seq2852	8q14.6	(51.3,96.1)
seq2853	22p8.12	(48.8,11.8)
seq2854	1q11.11	(74.4,33.7)
seq2855	8p14.9	(19.6,6.5)
seq2856	9p10.9	(6.3,70.6)
seq2857	4q6.2	(27.8,25.8)
seq2858	12q10.13	(39.0,51.9)
seq2859	12p8.5	(31.0,91.3)
seq2860	21p2.13	(41.5,41.6)
seq2861	13p1.13	(33.7,50.2)
seq2862	22p12.12	(63.4,33.4)
seq2863	22p11.7	(6.8,65.4)
seq2864	11p7.1	(5.3,13.1)
seq2865	8q6.10	(85.2,57.2)
seq2866	9p5.6	(16.3,90.8)
seq2867	19q6.9	(20.2,61.4)
seq2868	1p6.15	(49.2,27.3)
seq2869	2q12.9	(86.6,32.1)
seq2870	9q13.9	(54.8,50.3)
seq2871	19q10.11	(4.5,13.5)
seq2872	17q8.4	(67.1,68.0)
seq2873	20p10.11	(83.3,46.3)
seq2874	21p8.11	(70.3,52.6)
seq2875	4q1.6	(6.8,62.1)
seq2876	9q9.1	(7.6,25.2)
seq2877	8q4.1	(13.9,72.2)
seq2878	1q13.6	(24.6,48.7)
seq2879	3q7.11	(44.0,7.3)
seq2880	20p4.7	(75.9,22.4)
seq2881	16p14.5	(77.6,51.9)
seq2882	1p4.10	(88.2,85.3)
seq2883	3q9.5	(62.3,54.8)
seq2884	11p5.6	(9.8,14.1)
seq2885	9p11.3	(69.9,85.8)
seq2886	14p13.11	(85.4,4.2)
seq2887	1q10.13	(84.7,72.2)
seq2888	8p7.10	(2.3,52.2)
seq2889	11p1.3	(50.0,60.8)
seq2890	5p11.13	(31.2,24.8)
seq2891	19p9.3	(76.0,69.1)
seq2892	22p13.8	(55.4,9.2)
seq2893	9p14.10	(88.1,5.7)
seq2894	4p1.15	(82.1,92.1)
seq2895	4p12.11	(73.5,98.6)
seq2896	18p5.10	(77.2,8.2)
seq2897	2p3.1	(47.6,35.9)
seq2898	1q11.3	(63.2,10.4)
seq2899	7p10.13	(88.9,17.0)
seq2900	21p15.1	(67.0,55.2)
seq2901	12p10.8	(92.1,94.2)
seq2902	5q7.5	(27.4,1.9)
seq2903	6q12.3	(65.9,94.4)
seq2904	22p15.13	(5.3,8.5)
seq2905	6q10.11	(27.4,94.5)
seq2906	8q3.12	(75.5,45.3)
seq2907	6q14.2	(68.4,96.3)
seq2908	19q11.9	(83.7,70.1)
seq2909	19q11.2	(74.4,80.9)
seq2910	10p3.12	(83.8,93.9)
seq2911	10q9.10	(92.9,17.9)
seq2912	3p13.15	(12.2,11.7)
seq2913	3q8.9	(68.5,27.3)
seq2914	19q15.13	(55.3,27.5)
seq2915	22q6.12	(15.1,12.7)
seq2916	1q5.1	(80.7,6.4)
seq2917	4p6.2	(26.5,12.1)
seq2918	11q6.5	(95.9,99.9)
seq2919	16q7.4	(34.2,89.1)
seq2920	10p9.7	(8.6,68.4)
seq2921	4p10.11	(5.5,12.3)
seq2922	5q12.14	(35.3,92.1)
seq2923	1q12.12	(12.2,49.5)
seq2924	9q6.11	(29.2,32.2)
seq2925	7q12.5	(6.0,68.3)
seq2926	12q13.4	(19.0,33.8)
seq2927	3q12.15	(87.4,92.4)
seq2928	12q4.11	(22.9,11.3)
seq2929	18q4.10	(47.6,66.1)
seq2930	13q10.1	(42.4,31.3)
seq2931	12q12.2	(74.8,72.3)
seq2932	17p5.15	(68.8,58.5)
seq2933	11q11.4	(8.4,21.3)
seq2934	21q2.5	(91.9,45.0)
seq2935	18p15.11	(69.5,39.2)
seq2936	10q10.9	(77.0,14.9)
seq2937	7q4.10	(61.0,26.8)
seq2938	6p10.8	(1.5,0.6)
seq2939	12q1.4	(46.1,26.8)
seq2940	9p2.8	(59.0,67.7)
seq2941	1q11.5	(38.8,88.4)
seq2942	14p13.11	(94.8,28.8)
seq2943	6q13.9	(31.2,97.1)
seq2944	6q8.9	(45.8,33.7)
seq2945	21p9.11	(39.3,81.3)
seq2946	3q7.12	(80.2,73.8)
seq2947	5q12.7	(33.2,57.5)
seq2948	22p4.9	(4.3,7.6)
seq2949	14p12.12	(3.1,6.7)
seq2950	17p10.14	(72.7,39.0)
seq2951	6q10.9	(62.8,47.5)
seq2952	10q13.13	(51.3,78.6)
seq2953	15q10.13	(62.6,40.1)
seq2954	4p8.1	(53.2,74.9)
seq2955	16q13.6	(23.0,63.0)
seq2956	7q13.14	(73.5,46.3)
seq2957	2q14.11	(16.6,21.2)
seq2958	17q2.9	(7.6,38.8)
seq2959	19q7.14	(38.3,98.4)
seq2960	2q13.15	(62.1,84.2)
seq2961	10q13.2	(54.0,11.9)
seq2962	3q8.7	(66.9,49.9)
seq2963	15q4.2	(90.7,6.1)
seq2964	17p2.9	(32.5,6.6)
seq2965	19p6.10	(54.8,7.1)
seq2966	18p3.5	(99.3,87.1)
seq2967	8p7.1	(82.1,45.6)
seq2968	12p13.2	(92.8,40.4)
seq2969	15q13.11	(74.4,3.2)
seq2970	2q2.11	(23.6,18.2)
seq2971	6p9.9	(95.4,86.9)
seq2972	2p1.10	(70.4,81.8)
seq2973	19p11.2	(0.2,94.9)
seq2974	12p13.9	(50.5,48.1)
seq2975	20p4.1	(18.5,22.3)
seq2976	2p15.13	(17.8,84.6)
seq2977	2q1.9	(85.1,51.2)
seq2978	19p1.7	(80.0,48.4)
seq2979	8p6.7	(65.1,53.2)
seq2980	9p1.15	(31.5,47.9)
seq2981	16p1.11	(50.5,52.4)
seq2982	5q2.9	(17.4,13.0)
seq2983	3q8.5	(62.0,91.5)
seq2984	1p7.4	(2.6,47.7)
seq2985	12p10.2	(17.8,17.2)
seq2986	1q7.6	(88.6,96.6)
seq2987	18p14.8	(16.4,29.3)
seq2988	5q7.6	(98.2,18.8)
seq2989	17p3.5	(22.0,69.2)
seq2990	1q5.6	(21.2,87.0)
seq2991	4q10.13	(98.8,46.4)
seq2992	4q9.10	(98.3,80.3)
seq2993	13p9.4	(97.1,52.9)
seq2994	21q1.13	(29.1,78.7)
seq2995	10q12.5	(0.5,54.7)
seq2996	9p13.6	(71.8,9.5)
seq2997	14q14.15	(83.4,21.0)
seq2998	3q12.15	(38.4,55.2)
seq2999	8q9.6	(13.3,11.4)
seq3000	17p15.5	(99.9,40.9)
seq3001	15q9.6	(0.2,71.8)
seq3002	20q2.11	(70.0,63.9)
seq3003	3p4.11	(77.1,94.6)
seq3004	13q11.5	(27.9,67.0)
seq3005	17p13.11	(65.0,37.0)
seq3006	3q9.10	(11.1,28.5)
seq3007	21q3.11	(8.8,75.5)
seq3008	18p15.11	(33.1,80.1)
seq3009	14p10.13	(86.0,39.8)
seq3010	16q6.7	(62.0,39.8)
seq3011	12q10.9	(14.2,27.6)
seq3012	12q6.1	(92.8,20.0)
seq3013	7p15.12	(12.2,96.6)
seq3014	9q14.2	(79.8,80.5)
seq3015	19q15.8	(86.0,94.3)
seq3016	2q2.4	(35.7,18.0)
seq3017	6p1.4	(9.1,26.1)
seq3018	17q10.12	(3.1,30.3)
seq3019	9p5.10	(75.2,31.1)
seq3020	15q1.13	(18.1,60.5)
seq3021	16q6.4	(74.3,48.6)
seq3022	13q3.3	(31.4,62.6)
seq3023	5q2.9	(20.7,82.7)
seq3024	14q11.2	(21.0,76.5)
seq3025	13q7.15	(34.1,70.5)
seq3026	8p13.12	(9.6,87.3)
seq3027	8q15.13	(68.7,31.7)
