seq1	19q2.3	(24.3,55.8)
seq4936	17p9.10	(96.3,99.9)
seq4937	15q7.10	(51.3,52.4)
seq4938	7p3.13	(87.5,6.8)
seq4939	21q4.10	(19.2,98.5)
seq4940	11q10.7	(60.9,14.6)
seq4941	5q5.10	(28.2,35.1)
seq4942	19q13.13	(72.0,73.8)
seq4943	18q8.12	(42.9,76.9)
seq4944	4p7.7	(41.2,68.7)
seq4945	1q4.7	(37.5,10.9)
seq4946	4q13.8	(64.0,29.1)
seq4947	12q11.14	(96.5,6.1)
seq4948	19q2.10	(74.1,85.4)
seq4949	13q9.1	(28.5,41.6)
seq4950	6p15.14	(20.6,63.1)
seq4951	17p15.12	(77.1,69.3)
seq4952	8q1.6	(31.9,2.0)
seq4953	4q15.7	(68.0,86.3)
seq4954	20q10.3	(83.2,78.2)
seq4955	8q14.13	(84.1,90.1)
seq4956	8p7.10	(82.8,92.9)
seq4957	11p8.10	(52.4,52.0)
seq4958	9q9.9	(93.1,61.7)
seq4959	18p12.8	(38.8,76.6)
seq4960	14p12.12	(30.9,22.9)
seq4961	18p12.13	(54.4,65.2)
seq4962	2p5.15	(42.3,13.4)
seq4963	17p5.11	(48.5,67.0)
seq4964	18p14.10	(60.9,52.5)
seq4965	18q5.15	(57.7,39.1)
seq4966	15p5.2	(8.0,93.0)
seq4967	1q13.8	(77.2,45.7)
seq4968	12p12.1	(10.0,7.0)
seq4969	19q4.15	(63.1,9.1)
seq4970	3p1.8	(61.7,17.4)
seq4971	20p4.6	(31.6,52.7)
seq4972	12p15.4	(71.4,97.1)
seq4973	1p12.2	(45.5,82.2)
seq4974	2p15.3	(69.9,71.2)
seq4975	8p15.8	(93.2,13.3)
seq4976	8p15.12	(20.4,36.4)
seq4977	6q14.7	(32.1,29.3)
seq4978	21q1.6	(72.2,17.9)
seq4979	18p6.10	(42.6,30.0)
seq4980	9p8.11	(20.5,30.8)
seq4981	9q6.3	(71.7,41.7)
seq4982	11p13.10	(97.9,39.0)
seq4983	2p1.2	(54.2,5.3)
seq4984	13p7.14	(71.1,32.1)
seq4985	21q2.4	(54.3,56.6)
seq4986	3q5.2	(27.8,11.9)
seq4987	1p6.4	(68.5,70.5)
seq4988	14q4.3	(27.7,13.7)
seq4989	18p3.9	(79.4,25.2)
seq4990	14p8.12	(27.5,40.3)
seq4991	2q1.12	(1.1,41.3)
seq4992	6p10.7	(81.4,61.2)
seq4993	4q10.13	(53.4,77.5)
seq4994	15p7.4	(60.9,6.9)
seq4995	10p10.5	(73.4,24.9)
seq4996	7p13.8	(77.5,96.3)
seq4997	13q13.4	(9.1,83.2)
seq4998	8q13.1	(16.6,6.4)
seq4999	2p15.4	(0.3,30.2)
seq5000	3q10.9	(28.2,81.7)
seq5001	5p14.13	(86.9,51.6)
seq5002	16p1.13	(86.3,16.1)
seq5003	4p4.1	(16.7,2.1)
seq5004	9p1.3	(94.4,62.3)
seq5005	4q1.6	(74.7,85.9)
seq5006	20q2.13	(61.2,75.0)
seq5007	17q11.7	(82.2,90.9)
seq5008	5p3.12	(16.6,4.4)
seq5009	14q11.15	(15.4,98.6)
seq5010	13p5.3	(35.1,90.4)
seq5011	22p7.3	(24.8,9.1)
seq5012	17q3.11	(87.4,31.0)
seq5013	12p7.3	(91.6,9.5)
seq5014	22q7.10	(11.9,43.1)
seq5015	10p10.4	(58.4,98.5)
seq5016	8q6.4	(22.1,82.9)
seq5017	18q7.15	(98.4,13.8)
seq5018	18p1.13	(37.2,87.6)
seq5019	6q9.8	(91.5,56.8)
seq5020	3q8.5	(25.0,95.7)
seq5021	9q11.10	(77.8,28.7)
seq5022	20p10.11	(4.6,36.2)
seq5023	5q11.3	(98.2,15.0)
seq5024	12q3.10	(28.8,12.2)
seq5025	11q5.12	(52.2,77.1)
seq5026	2q8.15	(79.1,90.5)
seq5027	20q6.6	(59.5,69.4)
seq5028	14q7.7	(41.7,13.1)
seq5029	22p14.12	(91.1,25.8)
seq5030	6q13.12	(24.7,82.8)
seq5031	4q3.15	(74.4,43.5)
seq5032	20p4.12	(31.2,0.7)
seq5033	9p12.2	(14.8,95.2)
seq5034	17p12.1	(37.4,21.6)
seq5035	14p4.4	(38.3,8.4)
seq5036	9p7.14	(63.9,3.3)
seq5037	11q4.12	(39.8,5.4)
seq5038	10p15.4	(32.4,95.8)
seq5039	14q4.11	(76.8,22.0)
seq5040	5q14.13	(84.0,11.9)
seq5041	9q2.2	(90.4,55.4)
seq5042	8p14.1	(20.1,29.0)
seq5043	4p11.11	(9.2,98.9)
seq5044	4q10.15	(13.2,59.7)
seq5045	6q6.14	(8.4,72.2)
seq5046	22q9.10	(77.6,77.5)
seq5047	16p6.1	(62.6,21.2)
seq5048	2p2.8	(12.8,64.5)
seq5049	16q9.1	(94.6,50.1)
seq5050	22p1.11	(74.5,96.6)
seq5051	22p10.6	(30.5,1.0)
seq5052	4p2.9	(42.7,47.6)
seq5053	1p11.13	(92.3,3.1)
seq5054	21p1.12	(27.9,39.4)
seq5055	19p6.9	(23.3,10.2)
seq5056	4q12.14	(69.2,43.4)
seq5057	3q7.11	(62.9,38.8)
seq5058	18q3.13	(97.7,96.7)
seq5059	1q4.2	(18.9,22.8)
seq5060	8p12.13	(37.0,6.5)
seq5061	2p7.6	(9.8,38.5)
seq5062	3p5.5	(84.8,97.0)
seq5063	2q11.12	(46.1,50.3)
seq5064	16p2.10	(11.7,7.5)
seq5065	16q8.11	(6.2,44.3)
seq5066	15p11.8	(41.3,40.8)
seq5067	1q13.4	(13.9,48.8)
seq5068	9p15.8	(23.6,82.0)
seq5069	4p5.8	(8.8,61.4)
seq5070	10q6.10	(57.3,39.3)
seq5071	20q13.11	(98.8,97.7)
seq5072	5q14.8	(0.1,50.7)
seq5073	13p12.2	(4.9,3.7)
seq5074	6p4.10	(27.2,5.2)
seq5075	5q5.7	(80.1,58.6)
seq5076	18q14.1	(25.7,67.1)
seq5077	5p6.4	(78.4,41.9)
seq5078	8p7.7	(33.1,96.9)
seq5079	7q9.14	(57.1,71.4)
seq5080	7q7.1	(46.5,93.3)
seq5081	12p13.6	(96.2,21.7)
seq5082	9p7.4	(37.9,91.0)
seq5083	4p3.14	(98.7,19.3)
seq5084	11q1.4	(29.5,64.8)
seq5085	6q4.13	(55.4,15.7)
seq5086	22q6.1	(13.9,47.5)
seq5087	13q2.2	(23.5,52.9)
seq5088	22p12.1	(95.5,12.1)
seq5089	22q10.2	(50.3,7.9)
seq5090	16p9.12	(95.5,93.4)
seq5091	1p11.13	(66.9,97.2)
seq5092	18q5.9	(0.2,78.0)
seq5093	12q5.12	(42.7,73.7)
seq5094	6q2.12	(73.7,28.0)
seq5095	12p11.13	(92.0,80.5)
seq5096	9q14.11	(36.7,45.0)
seq5097	7q7.1	(5.6,94.4)
seq5098	7q1.1	(90.4,33.4)
seq5099	11p9.11	(8.6,37.8)
seq5100	8p15.11	(22.6,74.1)
seq5101	13p1.6	(92.6,71.1)
seq5102	17q15.15	(79.2,31.9)
seq5103	5q7.13	(17.6,67.1)
seq5104	10q9.14	(4.0,59.5)
seq5105	15q15.14	(46.2,68.1)
seq5106	4p15.3	(50.9,58.3)
seq5107	18p12.5	(27.1,94.2)
seq5108	1q7.4	(82.1,2.4)
seq5109	13p12.11	(45.0,66.6)
seq5110	3p10.2	(95.6,75.9)
seq5111	6p7.14	(36.4,83.5)
seq5112	15q9.14	(81.9,69.6)
seq5113	5p2.9	(15.8,69.3)
seq5114	20q9.10	(93.0,3.9)
seq5115	13p9.11	(62.6,78.9)
seq5116	21q8.5	(76.9,34.4)
seq5117	4q11.3	(81.3,86.1)
seq5118	13p3.13	(25.5,29.6)
seq5119	15p10.13	(77.3,33.0)
seq5120	20p14.3	(67.7,1.0)
seq5121	1q8.11	(38.9,73.0)
seq5122	8p6.3	(2.4,62.6)
seq5123	9p6.14	(1.1,96.1)
seq5124	21p10.13	(43.9,43.9)
seq5125	4q7.6	(60.5,31.3)
seq5126	18q2.7	(77.1,67.2)
seq5127	5q9.15	(74.2,31.6)
seq5128	3q6.8	(94.3,93.9)
seq5129	5q2.5	(68.5,39.0)
seq5130	13p2.6	(14.8,15.7)
seq5131	8p11.3	(9.7,44.6)
seq5132	2p2.15	(50.8,23.8)
seq5133	11p8.1	(11.0,6.4)
seq5134	13p5.7	(24.5,18.0)
seq5135	18p4.1	(0.4,50.2)
seq5136	1q7.9	(44.4,27.0)
seq5137	5q4.11	(68.7,87.5)
seq5138	18p6.6	(61.4,91.9)
seq5139	7q13.14	(10.2,83.5)
seq5140	22p1.9	(0.9,77.2)
seq5141	13q5.10	(87.6,11.6)
seq5142	10p4.2	(10.7,83.5)
seq5143	7p7.12	(41.5,85.7)
seq5144	13q1.1	(76.0,99.2)
seq5145	18p14.10	(30.3,0.4)
seq5146	2p4.3	(95.7,77.4)
seq5147	7p4.5	(25.2,54.8)
seq5148	1q14.15	(96.0,63.8)
seq5149	19q12.8	(88.2,57.8)
seq5150	12q9.11	(23.8,20.0)
seq5151	16q12.12	(31.4,87.9)
seq5152	5p15.4	(34.3,41.4)
seq5153	15p3.14	(43.2,35.2)
seq5154	13q5.10	(45.8,26.4)
seq5155	22q13.7	(88.6,4.9)
seq5156	20p2.12	(41.0,73.9)
seq5157	12q2.12	(89.8,94.4)
seq5158	16q13.3	(12.5,88.0)
seq5159	5p8.3	(18.9,75.5)
seq5160	15p12.8	(48.6,27.6)
seq5161	18q2.13	(81.7,55.4)
seq5162	21q11.6	(89.5,31.0)
seq5163	15q5.7	(57.5,2.0)
seq5164	2q11.2	(45.3,82.1)
seq5165	6p11.6	(6.6,31.5)
seq5166	22p15.14	(23.7,67.7)
seq5167	12p11.6	(77.1,86.3)
seq5168	16q9.1	(77.6,50.1)
seq5169	19q15.8	(35.5,14.1)
seq5170	17p1.15	(58.2,53.9)
seq5171	6p6.14	(90.2,36.9)
seq5172	18p6.9	(11.5,9.3)
seq5173	16q3.9	(56.7,11.8)
seq5174	6p10.12	(49.8,67.8)
seq5175	10q15.12	(7.3,73.7)
seq5176	14p1.3	(4.3,53.2)
seq5177	22p11.3	(33.0,71.4)
seq5178	13p7.14	(93.4,83.1)
seq5179	20q2.3	(67.8,72.7)
seq5180	12q15.12	(58.5,93.7)
seq5181	13q3.11	(75.8,61.8)
seq5182	15p7.15	(30.3,37.4)
seq5183	21p1.7	(47.9,31.2)
seq5184	17p2.14	(22.9,79.3)
seq5185	22p11.2	(90.6,48.2)
seq5186	9q3.10	(85.4,24.5)
seq5187	11q6.9	(35.6,99.2)
seq5188	8p7.9	(38.4,95.5)
seq5189	17p6.13	(77.0,67.4)
seq5190	18q4.1	(42.8,6.1)
seq5191	10p14.13	(11.3,14.0)
seq5192	2p2.14	(54.0,26.8)
seq5193	17q7.4	(5.3,4.6)
seq5194	3q6.14	(5.6,89.2)
seq5195	20q3.12	(39.9,53.0)
seq5196	20p7.14	(27.1,44.6)
seq5197	5p15.2	(17.1,45.5)
seq5198	8p1.10	(36.1,43.8)
seq5199	5p15.4	(53.0,93.2)
seq5200	10p5.8	(93.8,33.2)
seq5201	4q11.15	(38.5,64.8)
seq5202	1p2.11	(70.7,61.2)
seq5203	19p2.2	(6.3,77.8)
seq5204	8q5.1	(72.3,58.7)
seq5205	8q15.1	(71.9,49.9)
seq5206	10q11.6	(85.6,45.1)
seq5207	1p2.4	(79.8,6.4)
seq5208	17q15.11	(91.9,56.3)
seq5209	11q4.9	(53.5,3.3)
seq5210	7q14.10	(79.0,16.8)
seq5211	4p12.11	(56.1,69.0)
seq5212	10p12.10	(58.8,85.8)
seq5213	14p8.4	(98.4,3.1)
seq5214	5q9.14	(62.5,76.4)
seq5215	7p4.2	(49.5,54.4)
seq5216	2p5.4	(54.6,46.3)
seq5217	4q13.1	(44.1,36.7)
seq5218	9q14.12	(49.1,46.4)
seq5219	9q5.6	(47.1,83.1)
seq5220	19p4.3	(41.3,1.2)
seq5221	1p5.5	(82.8,19.9)
seq5222	12p11.3	(30.5,9.9)
seq5223	20q7.13	(77.0,31.9)
seq5224	11p8.15	(56.7,39.9)
seq5225	9p13.13	(45.7,55.6)
seq5226	20p5.11	(7.8,32.3)
seq5227	4p3.2	(95.8,71.3)
seq5228	3q7.1	(16.5,75.1)
seq5229	5p15.13	(28.9,74.3)
seq5230	3p7.12	(52.3,65.9)
seq5231	13q14.5	(96.3,23.0)
seq5232	21q13.5	(66.6,88.3)
seq5233	13q15.11	(74.0,45.0)
seq5234	6q13.5	(81.0,13.7)
seq5235	10p13.13	(22.7,94.1)
seq5236	21p1.12	(37.5,57.5)
seq5237	8q11.9	(24.6,53.0)
seq5238	6q3.5	(83.2,98.5)
seq5239	14p4.9	(37.5,12.6)
seq5240	21p4.2	(41.2,27.6)
seq5241	16p9.6	(86.9,79.0)
seq5242	10p15.6	(85.9,29.4)
seq5243	6q6.4	(47.3,60.7)
seq5244	17q12.5	(27.8,5.8)
seq5245	18q7.1	(13.3,42.3)
seq5246	17q12.11	(91.8,0.7)
seq5247	13p10.13	(71.2,6.6)
seq5248	18p5.13	(39.5,98.3)
seq5249	14p8.8	(23.3,18.2)
seq5250	14q5.13	(45.1,3.0)
seq5251	7q1.2	(39.9,72.9)
seq5252	15q4.12	(75.1,28.2)
seq5253	10p15.4	(12.1,43.5)
seq5254	22q8.13	(38.9,14.4)
seq5255	22p15.12	(98.0,65.1)
seq5256	7q3.7	(6.2,64.6)
seq5257	7p13.7	(13.8,44.9)
seq5258	18p1.4	(45.3,63.3)
seq5259	3p13.15	(61.2,56.4)
seq5260	3p14.14	(17.7,29.3)
seq5261	17q3.13	(71.0,43.0)
seq5262	10p13.11	(40.9,85.9)
seq5263	9p3.9	(10.9,93.9)
seq5264	16q6.1	(34.8,30.0)
seq5265	7q11.13	(52.8,90.4)
seq5266	20q12.13	(95.8,61.4)
seq5267	10p8.3	(10.4,52.7)
seq5268	15q5.12	(39.8,98.2)
seq5269	15p11.1	(90.4,5.3)
seq5270	11q7.12	(27.6,39.2)
seq5271	9p9.4	(23.5,70.9)
seq5272	14p5.1	(96.5,69.3)
seq5273	16q9.8	(77.5,87.5)
seq5274	14q15.1	(61.5,67.0)
seq5275	2q15.15	(79.5,58.7)
seq5276	10q8.14	(25.7,79.8)
seq5277	4p13.2	(26.8,69.7)
seq5278	6q14.15	(39.8,81.4)
seq5279	5p4.9	(94.4,19.9)
seq5280	6q9.4	(98.0,70.4)
seq5281	9p4.11	(18.1,1.7)
seq5282	4p11.3	(0.8,79.6)
seq5283	15p12.15	(85.6,43.5)
seq5284	18p8.9	(94.7,42.4)
seq5285	12p15.6	(65.5,16.1)
seq5286	11q5.6	(5.3,78.9)
seq5287	19q15.1	(69.0,23.2)
seq5288	20p7.10	(63.0,97.7)
seq5289	12q12.15	(8.2,87.9)
seq5290	14q6.13	(50.9,29.9)
seq5291	7q12.6	(74.3,98.3)
seq5292	1p4.13	(52.7,19.5)
seq5293	18q10.11	(64.5,57.1)
seq5294	18q8.15	(97.0,81.7)
seq5295	21q8.7	(94.0,95.6)
seq5296	11p11.5	(56.4,2.8)
seq5297	18q5.8	(14.3,4.5)
seq5298	11p7.15	(72.1,12.8)
seq5299	13p8.9	(52.0,52.3)
seq5300	16p10.9	(35.4,18.1)
seq5301	7q9.9	(4.6,15.6)
seq5302	18q13.9	(38.8,99.3)
seq5303	7q14.9	(54.2,37.3)
seq5304	6q13.8	(85.1,15.1)
seq5305	21q1.8	(24.4,43.5)
seq5306	11q14.14	(17.3,54.1)
seq5307	10p4.14	(65.8,13.8)
seq5308	2q11.5	(79.4,74.9)
seq5309	14q4.4	(31.6,41.0)
seq5310	1p11.9	(7.4,5.2)
seq5311	9p14.10	(93.1,87.0)
seq5312	11p2.10	(65.2,91.5)
seq5313	21p12.2	(82.6,96.0)
seq5314	21q5.10	(5.2,73.2)
seq5315	4p4.3	(24.1,0.6)
seq5316	16q1.8	(19.6,55.4)
seq5317	18p1.9	(50.5,89.8)
seq5318	4q12.5	(76.0,56.2)
seq5319	13p3.13	(70.9,64.1)
seq5320	13p8.7	(15.2,95.4)
seq5321	13p8.14	(16.9,13.5)
seq5322	8q6.3	(32.5,89.3)
seq5323	15p13.2	(7.4,74.3)
seq5324	14q10.7	(14.0,26.4)
seq5325	16p3.13	(23.4,43.9)
seq5326	9q13.10	(65.8,43.8)
seq5327	21q8.15	(6.9,20.6)
seq5328	9p10.3	(17.5,94.5)
seq5329	3q3.9	(85.4,96.9)
seq5330	18p1.13	(2.0,70.6)
seq5331	3p15.6	(90.3,71.2)
seq5332	16p5.13	(98.3,72.8)
seq5333	19q2.15	(62.4,27.0)
seq5334	10q5.10	(53.3,57.5)
seq5335	15q3.11	(3.6,48.2)
seq5336	21p8.14	(45.6,43.9)
seq5337	19p10.1	(53.5,49.1)
seq5338	13p11.3	(53.3,96.4)
seq5339	9p9.8	(58.8,66.2)
seq5340	21q9.5	(38.2,95.6)
seq5341	7p8.3	(58.4,35.4)
seq5342	13q11.13	(38.9,32.9)
seq5343	19p3.13	(85.5,83.3)
seq5344	9q9.11	(51.6,82.5)
seq5345	17q3.13	(6.0,38.9)
seq5346	1p4.2	(26.7,85.8)
seq5347	12q13.4	(87.2,91.5)
seq5348	16p8.2	(47.2,17.6)
seq5349	5p8.3	(39.5,17.3)
seq5350	21p13.7	(71.6,96.7)
seq5351	6q10.7	(60.0,44.0)
seq5352	11q4.1	(89.1,9.7)
seq5353	21p9.8	(89.6,31.9)
seq5354	9q1.1	(59.8,76.1)
seq5355	13p1.5	(17.3,88.1)
seq5356	14q13.14	(98.1,53.3)
seq5357	13p13.10	(78.6,37.7)
seq5358	16p12.12	(9.0,4.5)
seq5359	16q1.15	(16.1,28.9)
seq5360	1p11.15	(78.8,51.0)
seq5361	14q10.6	(4.5,84.9)
seq5362	7p9.1	(69.7,13.5)
seq5363	3q6.1	(19.1,59.8)
seq5364	9p8.3	(56.2,68.2)
seq5365	15p14.2	(98.3,56.7)
seq5366	10q3.2	(34.2,62.9)
seq5367	10q7.14	(87.0,50.3)
seq5368	5q4.6	(29.9,94.0)
seq5369	13q14.9	(50.2,48.1)
seq5370	1q4.14	(18.4,75.8)
seq5371	22q2.7	(86.1,87.9)
seq5372	9p12.15	(94.0,87.9)
seq5373	16q2.11	(68.5,29.7)
seq5374	2p14.2	(82.2,7.5)
seq5375	2q3.13	(11.7,3.7)
seq5376	7q11.13	(53.2,6.7)
seq5377	21q3.7	(29.2,23.0)
seq5378	2q8.2	(35.3,25.6)
seq5379	21q4.4	(78.4,96.2)
seq5380	19q5.15	(59.9,73.9)
seq5381	8q5.9	(92.7,30.8)
seq5382	1q7.15	(82.4,83.7)
seq5383	5q5.14	(33.5,81.8)
seq5384	8q12.14	(14.2,9.6)
seq5385	12p7.2	(49.9,8.6)
seq5386	19p10.9	(81.6,58.8)
seq5387	15p2.2	(50.4,98.2)
seq5388	9q10.7	(9.4,78.9)
seq5389	11p4.5	(96.9,50.5)
seq5390	20p10.10	(51.3,91.9)
seq5391	17q8.11	(42.8,24.8)
seq5392	14q1.3	(63.6,61.3)
seq5393	9q14.5	(66.2,5.4)
seq5394	15q13.4	(45.2,69.3)
seq5395	21p7.13	(23.5,79.3)
seq5396	6p14.5	(49.5,48.5)
seq5397	9q7.2	(8.8,85.5)
seq5398	6p15.7	(84.4,86.6)
seq5399	4p6.9	(70.5,57.2)
seq5400	17q12.14	(3.0,74.2)
seq5401	11q12.10	(41.0,81.6)
seq5402	18p3.11	(50.9,49.6)
seq5403	9q8.12	(98.1,71.9)
seq5404	13q15.10	(68.0,11.3)
seq5405	9q1.7	(39.0,27.1)
seq5406	15q11.12	(44.9,47.2)
seq5407	21p10.3	(70.2,5.8)
seq5408	8p11.6	(84.5,40.1)
seq5409	11p8.4	(76.3,18.9)
seq5410	11p13.14	(72.0,77.6)
seq5411	19p8.6	(40.7,57.7)
seq5412	8p10.3	(13.7,56.1)
seq5413	12p7.12	(49.2,95.3)
seq5414	11p6.5	(66.0,83.2)
seq5415	5q12.1	(10.3,40.0)
seq5416	22q13.5	(0.5,83.9)
seq5417	2p8.4	(34.1,78.2)
seq5418	4p15.7	(41.0,38.7)
seq5419	7q9.2	(56.9,22.9)
seq5420	14q10.12	(56.2,61.9)
seq5421	16p15.3	(72.2,89.7)
seq5422	3p2.13	(43.8,41.2)
seq5423	20p15.13	(94.3,96.5)
seq5424	2q12.9	(4.3,63.3)
seq5425	7p3.4	(44.8,96.9)
seq5426	4p5.7	(85.2,23.8)
seq5427	11q12.8	(79.4,96.5)
seq5428	14q1.12	(28.1,7.2)
seq5429	21q2.3	(37.3,81.3)
seq5430	9p1.2	(73.0,98.7)
seq5431	12q7.10	(79.4,23.2)
seq5432	15q2.1	(4.7,4.2)
seq5433	1q13.7	(11.7,29.1)
seq5434	22q4.14	(50.9,81.2)
seq5435	11q1.7	(85.9,86.1)
seq5436	17p11.14	(33.4,93.2)
seq5437	10q13.10	(27.6,16.7)
seq5438	16q15.10	(90.0,56.7)
seq5439	2p14.15	(53.7,97.8)
seq5440	3q7.2	(48.5,38.5)
seq5441	14p5.6	(19.6,57.4)
seq5442	16p5.1	(51.7,76.6)
seq5443	16p5.14	(94.5,90.2)
seq5444	5q15.4	(14.8,15.9)
seq5445	5q8.7	(5.5,87.5)
seq5446	1p9.1	(77.5,78.0)
seq5447	15p5.13	(43.6,18.3)
seq5448	16p2.2	(20.2,73.1)
seq5449	9q15.4	(27.3,5.8)
seq5450	4p10.13	(33.8,40.9)
seq5451	20q5.12	(34.6,91.0)
seq5452	18q4.6	(23.6,60.3)
seq5453	17p12.2	(81.8,68.9)
seq5454	9p3.1	(92.9,68.0)
seq5455	6p14.4	(41.6,16.4)
seq5456	10q10.15	(54.5,58.1)
seq5457	8p2.3	(6.3,59.2)
seq5458	15p4.9	(72.2,90.6)
seq5459	22p3.15	(67.3,38.1)
seq5460	2p7.5	(36.3,35.7)
seq5461	7q11.6	(30.4,22.7)
seq5462	4p1.15	(93.5,0.5)
seq5463	8q6.15	(90.6,28.9)
seq5464	7q3.13	(82.8,16.3)
seq5465	20q4.10	(80.1,52.2)
seq5466	3q4.11	(98.4,45.8)
seq5467	21q15.8	(29.1,61.7)
seq5468	19p13.7	(95.9,76.7)
seq5469	5q6.11	(12.9,47.1)
seq5470	18q14.4	(66.9,79.9)
seq5471	8q15.3	(79.5,56.2)
seq5472	20q12.7	(58.2,18.2)
seq5473	15p13.11	(42.8,90.4)
seq5474	5p10.7	(61.1,19.1)
seq5475	19p14.14	(96.6,60.6)
seq5476	1p14.12	(80.1,99.1)
seq5477	14p14.10	(91.0,19.4)
seq5478	1p8.10	(75.9,84.3)
seq5479	2q6.8	(69.2,13.7)
seq5480	5q13.8	(15.3,65.1)
seq5481	12p13.12	(98.9,1.0)
seq5482	11q14.13	(9.1,29.1)
seq5483	15q10.9	(98.6,79.2)
seq5484	14q10.11	(9.1,7.1)
seq5485	1q7.6	(95.5,12.3)
seq5486	2p8.9	(77.1,99.7)
seq5487	1p11.7	(63.8,10.6)
seq5488	6q10.6	(37.6,95.7)
seq5489	5q11.4	(14.4,46.8)
seq5490	18q13.15	(71.4,28.5)
seq5491	20q13.6	(12.2,74.6)
seq5492	7q2.11	(61.1,28.3)
seq5493	12p14.10	(87.9,3.3)
seq5494	9q3.10	(99.9,29.1)
seq5495	19p11.1	(28.1,45.9)
seq5496	5p1.3	(54.4,52.6)
seq5497	5p15.15	(91.2,11.6)
seq5498	4p11.1	(8.8,73.7)
seq5499	12p4.15	(33.9,48.4)
seq5500	9p15.2	(26.4,41.3)
seq5501	19q14.6	(11.2,92.7)
seq5502	20q13.9	(18.7,92.8)
seq5503	1p15.6	(80.9,64.8)
seq5504	11q8.3	(67.5,79.3)
seq5505	21p15.4	(85.8,62.6)
seq5506	6q5.13	(32.8,90.5)
seq5507	19q12.14	(25.5,62.1)
seq5508	19p15.3	(17.6,33.6)
seq5509	18p3.1	(10.1,51.0)
seq5510	5p5.13	(41.9,91.6)
seq5511	13q5.3	(32.2,17.5)
seq5512	20p1.5	(59.6,3.3)
seq5513	11q7.5	(64.9,82.9)
seq5514	16q6.15	(13.0,4.7)
seq5515	21p12.1	(34.6,56.5)
seq5516	13q2.8	(33.3,1.5)
seq5517	6q15.7	(51.4,75.9)
seq5518	13p8.2	(64.2,54.6)
seq5519	1p2.7	(90.7,26.1)
seq5520	5q9.14	(81.2,64.0)
seq5521	8q7.1	(85.2,95.5)
seq5522	2p11.14	(70.9,10.7)
seq5523	4q3.15	(29.2,55.8)
seq5524	15p10.2	(84.4,49.4)
seq5525	21q2.1	(54.0,62.1)
seq5526	6p5.1	(9.4,9.7)
seq5527	11q5.3	(1.0,79.8)
seq5528	14p9.8	(78.4,56.7)
seq5529	19q7.10	(48.3,93.0)
seq5530	19q10.5	(20.7,5.6)
seq5531	11q7.14	(41.4,60.5)
seq5532	19p9.3	(41.8,17.5)
seq5533	9p2.6	(94.6,9.6)
seq5534	11p8.11	(4.7,86.0)
seq5535	11p6.15	(32.6,84.0)
seq5536	9p12.2	(59.3,85.6)
seq5537	14q11.1	(55.1,72.1)
seq5538	1p1.9	(46.0,9.6)
seq5539	4p13.13	(82.8,27.2)
seq5540	10q2.15	(37.1,97.6)
seq5541	5q10.4	(46.2,90.5)
seq5542	20p13.14	(68.5,68.4)
seq5543	8p13.12	(93.2,89.9)
seq5544	16p14.11	(22.2,46.4)
seq5545	11p9.7	(23.6,1.3)
seq5546	2q11.7	(69.7,20.4)
seq5547	5q15.11	(43.5,73.2)
seq5548	2p7.10	(13.1,2.0)
seq5549	11q2.8	(62.2,37.5)
seq5550	22p4.5	(55.0,51.1)
seq5551	5q13.3	(26.3,40.8)
seq5552	16q3.3	(2.9,90.5)
seq5553	16q10.1	(72.2,86.1)
seq5554	9q8.8	(47.5,1.9)
seq5555	22q3.11	(59.9,60.0)
seq5556	6q11.7	(20.1,91.9)
seq5557	20p5.14	(64.2,98.6)
seq5558	19p6.9	(17.8,79.4)
seq5559	11q12.2	(85.7,83.8)
seq5560	2p12.5	(65.4,3.0)
seq5561	8p4.11	(78.6,56.8)
seq5562	5p6.10	(85.1,42.0)
seq5563	14q4.5	(70.1,51.6)
seq5564	2q15.2	(67.2,45.1)
seq5565	14p7.4	(96.8,65.6)
seq5566	14p1.7	(20.7,38.9)
seq5567	20q8.4	(28.2,81.7)
seq5568	16q3.12	(83.4,8.6)
seq5569	10q3.5	(43.3,80.4)
seq5570	8q8.5	(1.6,93.9)
seq5571	6q12.13	(22.1,83.7)
seq5572	9p10.15	(30.6,25.9)
seq5573	3p7.10	(75.4,91.5)
seq5574	12p6.5	(28.4,14.0)
seq5575	2q5.9	(42.7,32.6)
seq5576	22q10.5	(14.4,2.0)
seq5577	6q3.3	(75.2,98.0)
seq5578	4q3.9	(24.3,53.0)
seq5579	1p14.1	(70.0,84.3)
seq5580	7p12.15	(55.2,48.4)
seq5581	10q13.9	(50.8,47.6)
seq5582	21p6.8	(69.3,84.3)
seq5583	20p10.4	(10.0,13.8)
seq5584	11p6.6	(49.9,54.0)
seq5585	16p2.13	(58.5,66.5)
seq5586	11q8.6	(22.8,39.0)
seq5587	17p12.9	(24.6,69.6)
seq5588	4q1.7	(73.9,37.2)
seq5589	14p6.15	(50.7,82.8)
seq5590	15p5.13	(37.3,86.5)
seq5591	8p10.12	(51.5,65.5)
seq5592	10q11.14	(53.8,9.7)
seq5593	16p15.4	(78.1,60.8)
seq5594	12q14.4	(36.3,30.9)
seq5595	14p15.4	(33.5,84.4)
seq5596	15p11.3	(53.7,57.3)
seq5597	7p6.9	(25.4,26.8)
seq5598	19p9.5	(65.1,81.7)
seq5599	14q5.6	(42.6,63.5)
seq5600	21q15.4	(29.3,88.0)
