seq1	12q8.7	(6.4,30.1)
seq700	10p14.8	(17.7,14.1)
seq701	1q9.3	(20.9,5.4)
seq702	8p7.6	(12.9,4.8)
seq703	10p10.9	(26.0,9.8)
seq704	9p15.6	(29.6,1.4)
seq705	14q7.15	(7.1,7.2)
seq706	3q3.14	(23.0,17.7)
seq707	6p14.6	(30.4,9.9)
seq708	3q12.3	(21.3,25.8)
seq709	12p5.11	(2.5,27.0)
seq710	13p4.10	(5.2,10.0)
seq711	3q9.3	(8.9,25.3)
seq712	1q4.6	(22.3,19.8)
seq713	13p10.2	(9.3,6.8)
seq714	4q11.11	(12.0,0.1)
seq715	1q1.9	(31.0,30.7)
seq716	14p15.9	(31.3,18.0)
seq717	2q5.1	(11.9,5.3)
seq718	3p13.9	(31.6,29.5)
seq719	14p11.12	(17.4,29.1)
seq720	10p2.13	(23.5,10.0)
seq721	6p2.2	(14.3,23.9)
seq722	1q7.14	(10.5,12.2)
seq723	3p13.14	(24.4,14.6)
seq724	9q2.8	(23.0,20.3)
seq725	18q12.5	(31.0,19.5)
seq726	9q1.2	(23.4,24.7)
seq727	12p15.2	(18.4,4.8)
seq728	2p2.13	(21.3,11.4)
seq729	17q1.8	(4.1,9.1)
seq730	1q13.6	(20.9,3.2)
seq731	21p8.14	(11.4,1.6)
seq732	9q11.1	(18.3,12.4)
seq733	4p6.9	(30.6,2.9)
seq734	7p12.2	(10.0,29.0)
seq735	21q11.4	(28.1,18.8)
seq736	22q11.10	(16.4,0.2)
seq737	21q1.13	(17.5,30.8)
seq738	1q3.3	(2.1,19.4)
seq739	11q12.14	(23.3,8.7)
seq740	17p14.11	(5.2,9.3)
seq741	3p8.13	(27.1,24.9)
seq742	12p9.5	(4.3,7.6)
seq743	6p14.15	(20.2,30.6)
seq744	13p2.10	(19.8,23.2)
seq745	2q3.2	(12.6,28.1)
seq746	5p13.6	(14.7,25.9)
seq747	16q9.1	(29.6,2.8)
seq748	16q11.2	(3.7,0.7)
seq749	12p3.2	(24.3,19.0)
seq750	2p9.14	(14.8,4.0)
seq751	19q13.4	(15.0,3.7)
seq752	21q3.15	(6.2,3.9)
seq753	9q9.2	(21.4,31.4)
seq754	6q4.4	(14.7,28.3)
seq755	6p5.13	(9.9,0.0)
seq756	9p8.4	(12.0,20.0)
seq757	14q11.15	(10.6,12.5)
seq758	3p15.13	(21.5,21.5)
seq759	12p14.6	(7.6,1.8)
seq760	10q9.1	(24.0,0.6)
seq761	9p4.13	(23.3,3.4)
seq762	8p10.12	(18.8,1.5)
seq763	19q6.12	(15.8,11.2)
seq764	4p12.2	(27.5,24.1)
seq765	1q11.8	(1.6,22.4)
seq766	19p9.14	(21.1,12.3)
seq767	18p13.13	(29.6,1.8)
seq768	8q7.10	(13.9,4.1)
seq769	2q10.3	(12.4,10.4)
seq770	21p5.3	(13.2,2.6)
seq771	16q13.1	(15.4,28.3)
seq772	8p6.9	(12.3,15.9)
seq773	8q1.2	(17.0,26.3)
seq774	2p7.7	(12.0,9.8)
seq775	11q3.15	(6.0,30.5)
seq776	20q10.6	(7.2,3.7)
seq777	17p9.11	(29.8,21.4)
seq778	3p13.8	(4.0,5.7)
seq779	4p9.1	(9.6,1.1)
seq780	21p12.10	(13.9,24.8)
seq781	21q10.15	(13.4,7.5)
seq782	21p15.3	(22.3,15.0)
seq783	9q10.8	(2.9,7.9)
seq784	9q2.15	(18.8,7.2)
seq785	17q10.14	(1.2,18.0)
seq786	21q5.2	(17.7,21.2)
seq787	20p13.4	(6.7,25.2)
seq788	21p10.8	(15.9,24.5)
seq789	2q6.11	(2.0,7.4)
seq790	16q10.10	(19.3,28.2)
seq791	5p1.10	(29.2,4.6)
seq792	20q8.13	(21.2,1.3)
seq793	18p14.15	(25.0,7.6)
seq794	5q5.9	(8.8,14.6)
seq795	13p12.10	(16.8,28.9)
seq796	7q3.6	(25.6,27.7)
seq797	21p15.2	(0.7,23.7)
seq798	13q8.4	(4.4,13.2)
seq799	5p6.11	(12.6,13.8)
seq800	7p13.12	(30.0,23.1)
seq801	12p11.2	(6.3,13.9)
seq802	11p4.10	(13.3,30.7)
seq803	22q10.2	(23.3,14.3)
seq804	10q9.14	(5.9,27.6)
seq805	21q2.9	(24.5,19.1)
seq806	20p7.12	(3.9,0.5)
seq807	10q1.3	(6.6,31.4)
seq808	18p11.2	(2.0,18.7)
seq809	16q4.14	(25.9,12.0)
seq810	14p10.15	(1.8,9.1)
seq811	19p8.14	(21.2,1.6)
seq812	2p1.3	(22.1,1.5)
seq813	15p5.9	(28.2,11.0)
seq814	22p9.14	(28.1,30.6)
seq815	8p5.1	(19.9,1.3)
seq816	2p6.1	(29.8,27.2)
seq817	6q8.13	(14.3,20.8)
seq818	12q12.13	(26.5,28.9)
seq819	6q8.4	(4.4,24.5)
seq820	22q12.14	(13.8,21.4)
seq821	15p13.6	(7.5,30.9)
seq822	10q5.1	(15.3,20.1)
seq823	10q5.12	(8.1,0.2)
seq824	21q4.6	(22.0,3.3)
seq825	6p9.15	(27.8,29.3)
seq826	12q5.14	(22.0,4.9)
seq827	22q8.10	(22.4,21.0)
seq828	8p15.2	(9.2,23.5)
seq829	3q13.8	(7.1,17.0)
seq830	15p14.1	(11.5,25.0)
seq831	14p1.10	(21.1,6.3)
seq832	4p5.3	(28.3,24.5)
seq833	4p3.13	(9.2,8.2)
seq834	6q9.5	(6.6,13.8)
seq835	11p1.4	(16.3,0.3)
seq836	18p15.11	(15.8,29.2)
seq837	3p13.12	(10.0,26.3)
seq838	3q8.14	(29.7,21.5)
seq839	6q15.7	(25.3,19.8)
seq840	9p4.5	(0.3,13.2)
seq841	14q7.9	(24.1,10.8)
seq842	9q4.3	(20.7,0.8)
seq843	13q13.6	(31.5,6.5)
seq844	16q14.1	(11.1,2.1)
seq845	4q6.1	(1.3,15.3)
seq846	15q15.3	(16.2,17.5)
seq847	21q12.5	(19.9,21.0)
seq848	19q10.14	(9.4,15.3)
seq849	2q5.13	(4.5,0.1)
seq850	18q2.8	(14.9,18.6)
seq851	1p13.3	(15.4,15.0)
seq852	19p10.4	(28.8,10.9)
seq853	14q9.15	(10.3,24.4)
seq854	17q5.4	(18.5,29.4)
seq855	9p1.9	(29.0,17.5)
seq856	21p8.4	(19.0,19.2)
seq857	8p14.15	(2.8,19.1)
seq858	17p4.2	(24.6,15.0)
seq859	20p4.8	(18.5,22.2)
seq860	17q12.13	(15.7,3.3)
seq861	9q14.4	(27.8,13.0)
seq862	20p13.7	(24.2,7.7)
seq863	3q11.2	(28.2,29.4)
seq864	1q1.9	(23.4,3.9)
seq865	18q12.5	(25.8,29.9)
seq866	9p3.10	(27.8,7.0)
seq867	11p11.12	(5.8,7.2)
seq868	21q13.4	(3.9,31.5)
seq869	12q5.10	(7.0,18.5)
seq870	5q6.2	(21.8,17.1)
seq871	22q8.8	(20.9,27.9)
seq872	4p6.7	(29.0,6.5)
seq873	8p14.10	(20.4,28.8)
seq874	2q4.3	(6.0,14.1)
seq875	17q13.5	(19.9,1.1)
seq876	9p11.4	(26.7,8.1)
seq877	2q6.15	(28.4,24.0)
seq878	19p15.6	(8.7,18.0)
seq879	12p5.9	(24.7,17.1)
seq880	1q9.5	(3.9,8.1)
seq881	9p6.6	(11.8,29.2)
seq882	5p14.15	(19.8,10.4)
seq883	11q3.14	(22.2,8.4)
seq884	11q11.10	(6.7,16.3)
seq885	9q14.4	(23.8,2.3)
seq886	6p2.9	(17.7,16.0)
seq887	1p15.12	(13.8,26.7)
seq888	8q5.14	(17.4,26.3)
seq889	3p11.1	(2.3,16.4)
seq890	11p13.15	(0.8,27.6)
seq891	14p15.3	(15.3,0.4)
seq892	8q2.15	(21.0,25.4)
seq893	15q12.13	(7.5,5.6)
seq894	12p13.8	(15.3,7.8)
seq895	22q7.6	(5.7,0.3)
seq896	3q13.13	(13.3,29.9)
seq897	12p8.7	(7.1,25.5)
seq898	3p2.4	(0.4,1.4)
seq899	21p12.6	(14.2,21.2)
seq900	5q1.4	(2.5,12.0)
seq901	16q4.11	(19.6,27.0)
seq902	1p1.3	(27.6,29.2)
seq903	12q11.4	(24.5,6.6)
seq904	6q11.4	(14.7,1.8)
seq905	22p10.9	(23.8,2.3)
seq906	7q7.2	(25.3,15.1)
seq907	15q10.8	(7.1,18.4)
seq908	22q13.12	(22.2,14.1)
seq909	1q4.12	(7.5,3.3)
seq910	21p11.15	(21.5,16.7)
seq911	13q3.7	(19.9,8.0)
seq912	2q11.12	(27.5,20.2)
seq913	2q7.8	(21.7,18.1)
seq914	22q9.4	(12.1,17.5)
seq915	16q5.5	(12.4,24.7)
seq916	12p13.6	(7.0,14.8)
seq917	7q14.4	(19.4,27.6)
seq918	14p15.6	(17.5,0.5)
seq919	16p14.2	(4.3,27.5)
seq920	3q6.2	(6.9,2.7)
seq921	12p10.8	(5.5,24.2)
seq922	2p15.1	(15.8,3.8)
seq923	7p4.8	(15.0,12.7)
seq924	19q7.6	(24.2,31.3)
seq925	9q4.12	(30.0,30.9)
seq926	11p13.8	(27.9,14.3)
seq927	17q7.14	(11.7,19.3)
seq928	18p10.3	(8.2,3.5)
seq929	7p1.12	(3.3,4.4)
seq930	19p3.15	(12.6,19.9)
seq931	3q7.6	(29.7,16.8)
seq932	20q1.7	(7.6,13.4)
seq933	22p13.8	(9.5,21.8)
seq934	2p15.6	(6.8,13.3)
seq935	10q2.11	(25.8,8.7)
seq936	13q15.2	(30.9,14.9)
seq937	10p2.2	(23.5,24.3)
seq938	19p2.11	(12.6,13.9)
seq939	20q4.4	(29.2,28.8)
seq940	4p14.7	(12.7,12.6)
seq941	1p4.15	(15.0,2.1)
seq942	14q1.3	(3.5,10.1)
seq943	7p12.6	(4.1,9.9)
seq944	22q9.10	(1.9,0.4)
seq945	16q15.12	(4.5,25.1)
seq946	10p15.13	(13.1,26.9)
seq947	7q9.13	(23.0,11.9)
seq948	1p13.11	(29.7,30.7)
seq949	15q7.1	(17.3,29.5)
seq950	13p15.5	(29.1,6.4)
seq951	19q7.14	(26.8,19.8)
seq952	17p13.12	(4.5,3.9)
seq953	18p2.11	(12.1,9.7)
seq954	12p5.15	(13.0,25.2)
seq955	14p9.15	(30.1,4.8)
seq956	19q12.14	(14.2,7.3)
seq957	14q7.2	(14.7,29.3)
seq958	12q12.9	(8.7,18.7)
seq959	5q5.12	(6.8,30.8)
seq960	5q7.6	(18.1,19.8)
seq961	16q10.13	(5.8,3.7)
seq962	20p4.7	(28.4,7.7)
seq963	4p4.14	(26.6,30.9)
seq964	19q2.15	(6.3,9.4)
seq965	16q14.5	(22.6,15.7)
seq966	3p6.1	(31.1,2.5)
seq967	5q12.7	(26.4,30.1)
seq968	9p8.2	(11.8,3.2)
seq969	13q3.13	(3.3,3.9)
seq970	19q2.7	(2.7,16.8)
seq971	17p3.15	(5.0,25.5)
seq972	19p15.3	(12.2,16.3)
seq973	13q8.4	(8.8,29.3)
seq974	19p2.6	(15.5,24.7)
seq975	17q14.11	(19.6,14.6)
seq976	7q7.12	(17.3,29.6)
seq977	3p1.13	(5.4,4.9)
seq978	6p6.12	(17.1,26.4)
seq979	11p1.4	(16.9,7.5)
seq980	3q12.7	(18.1,21.6)
seq981	6q3.10	(12.6,30.1)
seq982	12q1.15	(9.6,2.4)
seq983	2q2.3	(30.3,25.5)
seq984	11q12.11	(12.1,3.5)
seq985	5p2.4	(9.8,22.7)
seq986	18q4.9	(22.1,0.3)
seq987	14p8.9	(6.2,1.6)
seq988	21q3.15	(13.5,5.7)
seq989	16p3.8	(23.1,25.3)
seq990	9p10.5	(18.5,12.0)
seq991	1p2.5	(30.5,1.1)
seq992	11p2.3	(16.9,31.4)
seq993	7p6.15	(17.6,28.1)
seq994	9q13.3	(5.8,9.8)
seq995	6q12.4	(23.5,31.2)
seq996	10p9.6	(4.1,24.7)
seq997	7q8.12	(22.4,17.4)
seq998	5p3.15	(31.3,18.4)
seq999	12q6.11	(3.4,10.5)
seq1000	6p11.7	(6.5,26.5)
